"job_id","name","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","skills"
209315,"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20","oracle"
209315,"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20","kafka"
209315,"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20","linux"
209315,"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20","git"
209315,"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20","svn"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","sql"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","python"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","r"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","sas"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","matlab"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","spark"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","airflow"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","excel"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","tableau"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","power bi"
229253,"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55","sas"
641501,"Citigroup, Inc","Head of Infrastructure Management & Data Analytics - Financial...","Jacksonville, FL","Full-time","375000.0","2023-07-03 11:30:01","excel"
641501,"Citigroup, Inc","Head of Infrastructure Management & Data Analytics - Financial...","Jacksonville, FL","Full-time","375000.0","2023-07-03 11:30:01","word"
1110602,"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22","python"
1110602,"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22","r"
1110602,"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22","vba"
1110602,"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22","excel"
1110602,"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22","tableau"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","sql"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","mysql"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","postgresql"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","sql server"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","vmware"
948291,"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59","oracle"
1167238,"Tinder, Inc.","Senior Director, Data","San Francisco, CA","Full-time","375000.0","2023-06-30 07:01:13","go"
1059665,"Anthropic","Data Analyst","San Francisco, CA","Full-time","350000.0","2023-06-22 07:00:59","sql"
1059665,"Anthropic","Data Analyst","San Francisco, CA","Full-time","350000.0","2023-06-22 07:00:59","python"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","sql"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","python"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","r"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","bigquery"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","snowflake"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","tableau"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","power bi"
101757,"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05","looker"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","sql"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","python"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","spark"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","airflow"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","hadoop"
1500195,"Eden Smith Group","Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","New York, NY","Full-time","340000.0","2023-04-12 10:59:55","yarn"
894135,"OpenAI","Research Scientist","San Francisco, CA","Full-time","285000.0","2023-04-19 18:04:21","github"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","sql"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","python"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","r"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","azure"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","databricks"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","aws"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","pandas"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","pyspark"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","jupyter"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","excel"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","tableau"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","power bi"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","powerpoint"
285766,"Google","Partner Technology Manager, Data Analytics and AI","Austin, TX","Full-time","254000.0","2023-07-28 13:01:20","gcp"
1433800,"GradBay","Senior Data Analyst","New York, NY","Full-time","240000.0","2023-12-18 17:59:56","python"
1433800,"GradBay","Senior Data Analyst","New York, NY","Full-time","240000.0","2023-12-18 17:59:56","java"
1433800,"GradBay","Senior Data Analyst","New York, NY","Full-time","240000.0","2023-12-18 17:59:56","r"
1433800,"GradBay","Senior Data Analyst","New York, NY","Full-time","240000.0","2023-12-18 17:59:56","aws"
