"name","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
"The Walt Disney Company","SVP, Data Analytics","Santa Monica, CA","Full-time","425000.0","2023-06-22 09:01:01"
"ЛАНИТ","Data base administrator","Belarus","Full-time","400000.0","2023-10-03 11:22:20"
"General Dynamics","Sr. Oracle Database Analyst","Springfield, VA","Full-time","375000.0","2023-05-18 06:59:59"
"Illuminate Mission Solutions","Sr Data Analyst","Bethesda, MD","Full-time","375000.0","2023-04-05 12:00:12"
"Tinder, Inc.","Senior Director, Data","San Francisco, CA","Full-time","375000.0","2023-06-30 07:01:13"
"Modern Technology Solutions","Senior Data Analyst SME","Albuquerque, NM","Full-time","375000.0","2023-08-21 06:37:31"
"Citigroup, Inc","Head of Infrastructure Management & Data Analytics - Financial...","Jacksonville, FL","Full-time","375000.0","2023-07-03 11:30:01"
"Illuminate Mission Solutions","HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22"
"Torc Robotics","Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55"
"Care.com","Head of Data Analytics","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05"
