"skill_combination","job_count","avg_salary","salary_premium_percent","min_salary","max_salary","salary_std_dev","consistency_score"
"go + matlab","5","159335.00","70.58","98500.0","218500.0","57246.00","2.78"
"scala + oracle","6","157499.50","68.61","56700.0","234000.0","56875.20","2.77"
"python + atlassian","6","155468.17","66.44","105000.0","190000.0","40378.32","3.85"
"sql server + kafka","5","154500.00","65.40","125000.0","185000.0","25024.99","6.17"
"mongodb + hadoop","7","154220.21","65.10","105000.0","204584.5","33402.26","4.62"
"databricks + redshift","5","150603.00","61.23","112500.0","200000.0","33222.72","4.53"
"go + hadoop","5","149656.40","60.21","105000.0","198000.0","36005.57","4.16"
"numpy + tensorflow","6","149130.50","59.65","100000.0","198000.0","40432.85","3.69"
"cassandra + tableau","5","148816.90","59.32","63000.0","204584.5","56742.22","2.62"
"php + perl","8","148476.88","58.95","79200.0","186500.0","36414.68","4.08"
"mysql + mongodb","5","147999.10","58.44","57272.5","204584.5","54798.05","2.70"
"mongodb + mysql","5","147999.10","58.44","57272.5","204584.5","54798.05","2.70"
"mongodb + aws","5","147596.40","58.01","79200.0","165000.0","36051.50","4.09"
"go + numpy","6","146496.42","56.83","89978.5","205000.0","55052.57","2.66"
"spark + github","9","145498.00","55.76","102500.0","200000.0","40394.20","3.60"
"perl + tableau","12","144492.92","54.69","79200.0","186500.0","31392.28","4.60"
"kafka + power bi","8","144388.69","54.57","80850.0","204584.5","42374.06","3.41"
"postgresql + linux","5","143803.00","53.95","105000.0","165000.0","23642.13","6.08"
"mongodb + spark","6","143144.42","53.24","48000.0","204584.5","52479.72","2.73"
"gcp + git","5","143030.60","53.12","98500.0","177000.0","31577.32","4.53"
